ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,100.0%
3449,https://leetcode.com/problems/maximize-the-minimum-game-score,Maximize the Minimum Game Score,Hard,24.9%,100.0%
3457,https://leetcode.com/problems/eat-pizzas,Eat Pizzas!,Medium,32.3%,100.0%
3467,https://leetcode.com/problems/transform-array-by-parity,Transform Array by Parity,Easy,89.6%,100.0%
3575,https://leetcode.com/problems/maximum-good-subtree-score,Maximum Good Subtree Score,Hard,44.1%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,96.3%
860,https://leetcode.com/problems/lemonade-change,Lemonade Change,Easy,59.4%,92.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,87.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,87.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.9%,87.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.2%,87.0%
2259,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result,Remove Digit From Number to Maximize Result,Easy,48.4%,87.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,68.4%,85.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,80.8%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.7%,80.8%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.8%,80.8%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.3%,80.8%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,47.6%,75.7%
1563,https://leetcode.com/problems/stone-game-v,Stone Game V,Hard,59.0%,75.7%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,72.9%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,72.9%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.7%,72.9%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.1%,72.9%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.3%,72.9%
