ID,URL,Title,Difficulty,Acceptance %,Frequency %
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,30.6%,100.0%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,51.6%,87.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.6%,77.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.2%,70.5%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.9%,70.5%
631,https://leetcode.com/problems/design-excel-sum-formula,Design Excel Sum Formula,Hard,39.9%,70.5%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,41.9%,70.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.4%,61.3%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.9%,61.3%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.7%,61.3%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.9%,61.3%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.8%,61.3%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,61.3%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.4%,61.3%
1296,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,Divide Array in Sets of K Consecutive Numbers,Medium,59.2%,61.3%
