ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,82.0%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,82.0%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,80.6%
2,https://leetcode.com/problems/add-two-numbers,"Add Two Numbers",Medium,48.3%,77.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,73.9%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,73.9%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,71.9%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,71.9%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,69.7%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,69.7%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,69.7%
76,https://leetcode.com/problems/minimum-window-substring,"Minimum Window Substring",Hard,47.4%,69.7%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,67.2%
31,https://leetcode.com/problems/next-permutation,"Next Permutation",Medium,45.1%,67.2%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Minimum Edge Reversals So Every Node Is Reachable",Hard,59.1%,67.2%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,64.5%
70,https://leetcode.com/problems/climbing-stairs,"Climbing Stairs",Easy,54.0%,64.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,64.5%
253,https://leetcode.com/problems/meeting-rooms-ii,"Meeting Rooms II",Medium,52.6%,64.5%
283,https://leetcode.com/problems/move-zeroes,"Move Zeroes",Easy,63.8%,64.5%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,61.4%
88,https://leetcode.com/problems/merge-sorted-array,"Merge Sorted Array",Easy,54.7%,61.4%
125,https://leetcode.com/problems/valid-palindrome,"Valid Palindrome",Easy,53.2%,61.4%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,61.4%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,57.9%
51,https://leetcode.com/problems/n-queens,"N-Queens",Hard,75.4%,57.9%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Binary Tree Zigzag Level Order Traversal",Medium,63.6%,57.9%
169,https://leetcode.com/problems/majority-element,"Majority Element",Easy,66.2%,57.9%
202,https://leetcode.com/problems/happy-number,"Happy Number",Easy,59.5%,57.9%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,"Kth Largest Element in an Array",Medium,68.9%,57.9%
238,https://leetcode.com/problems/product-of-array-except-self,"Product of Array Except Self",Medium,68.8%,57.9%
295,https://leetcode.com/problems/find-median-from-data-stream,"Find Median from Data Stream",Hard,54.4%,57.9%
1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Final Prices With a Special Discount in a Shop",Easy,84.1%,57.9%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Median of Two Sorted Arrays",Hard,46.4%,53.7%
7,https://leetcode.com/problems/reverse-integer,"Reverse Integer",Medium,31.8%,53.7%
9,https://leetcode.com/problems/palindrome-number,"Palindrome Number",Easy,60.5%,53.7%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Letter Combinations of a Phone Number",Medium,65.9%,53.7%
27,https://leetcode.com/problems/remove-element,"Remove Element",Easy,61.7%,53.7%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,"Search in Rotated Sorted Array",Medium,44.4%,53.7%
