ID,URL,Title,Difficulty,Acceptance %,Frequency %
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.3%,100.0%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,47.9%,100.0%
3469,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements,Find Minimum Cost to Remove Array Elements,Medium,18.9%,100.0%
779,https://leetcode.com/problems/k-th-symbol-in-grammar,K-th Symbol in Grammar,Medium,48.4%,88.6%
1642,https://leetcode.com/problems/furthest-building-you-can-reach,Furthest Building You Can Reach,Medium,50.9%,77.3%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,53.1%,74.1%
668,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Kth Smallest Number in Multiplication Table,Hard,54.0%,74.1%
2221,https://leetcode.com/problems/find-triangular-sum-of-an-array,Find Triangular Sum of an Array,Medium,78.8%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,50.0%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.1%,50.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.8%,50.0%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,67.9%,50.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,50.0%
2104,https://leetcode.com/problems/sum-of-subarray-ranges,Sum of Subarray Ranges,Medium,60.1%,50.0%
2542,https://leetcode.com/problems/maximum-subsequence-score,Maximum Subsequence Score,Medium,54.3%,50.0%
2920,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,Maximum Points After Collecting Coins From All Nodes,Hard,35.8%,50.0%
3281,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges,Maximize Score of Numbers in Ranges,Medium,34.7%,50.0%
