ID,URL,Title,Difficulty,Acceptance %,Frequency %
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,100.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,87.7%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,87.7%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.4%,87.7%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,48.4%,87.5%
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,49.4%,87.5%
1242,https://leetcode.com/problems/web-crawler-multithreaded,Web Crawler Multithreaded,Medium,50.2%,87.5%
2759,https://leetcode.com/problems/convert-json-string-to-object,Convert JSON String to Object,Hard,61.9%,87.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.4%,77.9%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.7%,77.9%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,77.9%
