ID,URL,Title,Difficulty,Acceptance %,Frequency %
3001,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,Minimum Moves to Capture The Queen,Medium,22.4%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.4%,97.4%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.4%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,77.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,75.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,75.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,75.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,44.1%,75.0%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,34.9%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,75.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.8%,70.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.0%,70.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,62.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,52.7%,62.5%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,48.4%,62.5%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,59.7%,62.5%
1148,https://leetcode.com/problems/article-views-i,Article Views I,Easy,77.1%,62.5%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,65.5%,60.6%
1431,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Kids With the Greatest Number of Candies,Easy,88.0%,60.6%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.5%,60.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.1%,60.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.5%,60.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.6%,60.5%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.9%,60.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.7%,60.5%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,60.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.8%,60.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.9%,60.5%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.3%,60.5%
766,https://leetcode.com/problems/toeplitz-matrix,Toeplitz Matrix,Easy,69.7%,60.5%
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,81.9%,60.5%
